"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"Adet","y2005","p15","EH18472","r1","t9",69,102,107,2525,42.8
"Adet","y2005","p16","EH1893","r2","t4",69,102,94,2760,38.1
"Adet","y2005","p17","Beka","r2","t15",74,102,100,1630,37.6
"Adet","y2005","p18","BNEth019","r2","t13",60,94,80,2625,47.1
"Adet","y2005","p19","IBON4499","r2","t5",64,94,63,1695,44
"Adet","y2005","p20","EH18472","r2","t9",74,102,96,1385,38.1
"Adet","y2005","p21","HB120","r2","t14",71,102,95,1410,36.5
"Adet","y2005","p22","EH1864","r2","t10",69,102,54,1255,41.1
"Adet","y2005","p23","EH1877","r2","t6",63,96,74,3030,45.4
"Adet","y2005","p24","EH1869","r2","t7",69,102,95,1540,39.8
"Adet","y2005","p25","F2SXS13395","r2","t12",65,94,92,2480,47.1
"Adet","y2005","p26","EH1900","r2","t2",64,96,92,2575,45
"Adet","y2005","p27","IBON2796","r2","t11",55,94,74,2830,49.1
"Adet","y2005","p28","EH1505","r2","t3",67,102,88,2645,52.7
"Adet","y2005","p29","EH1847","r2","t1",63,94,99,2840,45.8
"Adet","y2005","p30","EH1551","r2","t8",57,94,87,3325,59.7
"Adet","y2005","p31","IBON2796","r3","t11",54,94,69,2770,53.8
"Adet","y2005","p32","EH18472","r3","t9",65,101,98,2230,45.1
"Adet","y2005","p33","BNEth019","r3","t13",57,102,81,2485,48.1
"Adet","y2005","p34","IBON4499","r3","t5",57,94,54,2150,49.2
"Adet","y2005","p35","EH1847","r3","t1",63,94,87,1935,49.4
"Adet","y2005","p36","EH1864","r3","t10",65,101,66,1395,40.5
"Adet","y2005","p37","EH1869","r3","t7",65,101,87,1625,40.5
"Adet","y2005","p38","EH1551","r3","t8",57,94,77,2580,58.4
"Adet","y2005","p39","EH1893","r3","t4",69,96,77,1690,34.8
"Adet","y2005","p40","Beka","r3","t15",74,102,86,1095,33.6
"Adet","y2005","p41","EH1877","r3","t6",60,101,74,2140,44
"Adet","y2005","p42","EH1505","r3","t3",67,100,83,2345,50.8
"Adet","y2005","p43","EH1900","r3","t2",64,96,85,2360,45.5
"Adet","y2005","p44","F2SXS13395","r3","t12",65,96,78,2045,44.3
"Adet","y2005","p45","HB120","r3","t14",69,103,93,1835,39.2
"Adet","y2005","p46","EH1551","r4","t8",63,98,68,1745,56.4
"Adet","y2005","p47","IBON2796","r4","t11",64,94,44,1365,42.9
"Adet","y2005","p48","BNEth019","r4","t13",63,96,73,1800,47.4
"Adet","y2005","p49","EH1900","r4","t2",67,96,59,1255,39.9
"Adet","y2005","p50","EH18472","r4","t9",69,101,85,1435,39.6
"Adet","y2005","p51","Beka","r4","t15",74,98,42,625,31.7
"Adet","y2005","p52","HB120","r4","t14",74,101,61,915,32
"Adet","y2005","p53","EH1877","r4","t6",67,96,65,1715,45.2
"Adet","y2005","p54","EH1869","r4","t7",69,101,85,1255,39.6
"Adet","y2005","p55","EH1893","r4","t4",67,96,86,2535,39.7
"Adet","y2005","p56","EH1864","r4","t10",69,96,59,1060,38.9
"Adet","y2005","p57","IBON4499","r4","t5",64,96,52,1325,43.6
"Adet","y2005","p58","F2SXS13395","r4","t12",65,94,81,2205,48.7
"Adet","y2005","p59","EH1505","r4","t3",67,98,79,2075,53.3
"Adet","y2005","p60","EH1847","r4","t1",63,94,75,1605,44.1
"SGonder","y2005","p1","EH1877","r1","t6",75,115,62.2,1405,37.7
"SGonder","y2005","p2","EH1505","r1","t3",82,117,70.4,1075,37.8
"SGonder","y2005","p3","EH1900","r1","t2",78,116,80.4,1055,34.4
"SGonder","y2005","p4","IBON2796","r1","t11",69,107,64.4,800,32.1
"SGonder","y2005","p5","EH1869","r1","t7",86,123,65,585,30.1
"SGonder","y2005","p6","EH1893","r1","t4",95,122,66,495,27.1
"SGonder","y2005","p7","EH1864","r1","t10",96,124,57.8,270,30.5
"SGonder","y2005","p8","EH1847","r1","t1",78,118,75.2,1120,31
"SGonder","y2005","p9","IBON4499","r1","t5",77,117,59.2,560,29.9
"SGonder","y2005","p10","F2SXS13395","r1","t12",79,118,58,755,32.6
"SGonder","y2005","p11","Beka","r1","t15",92,131,93.8,1020,29.6
"SGonder","y2005","p12","HB120","r1","t14",84,131,92.6,1745,32.2
"SGonder","y2005","p13","EH1551","r1","t8",60,117,77.4,2210,44.3
"SGonder","y2005","p14","BNEth019","r1","t13",71,117,89,1980,37.8
"SGonder","y2005","p15","EH18472","r1","t9",81,126,96.6,2085,38.6
"SGonder","y2005","p16","EH1893","r2","t4",82,125,83.2,2245,28.3
"SGonder","y2005","p17","Beka","r2","t15",86,126,85,1220,27.1
"SGonder","y2005","p18","BNEth019","r2","t13",70,117,72.2,1665,37
"SGonder","y2005","p19","IBON4499","r2","t5",70,115,70.6,1055,32.9
"SGonder","y2005","p20","EH18472","r2","t9",80,127,94.6,2090,37.5
"SGonder","y2005","p21","HB120","r2","t14",91,125,91.8,1670,31.9
"SGonder","y2005","p22","EH1864","r2","t10",84,124,57.4,1035,35.6
"SGonder","y2005","p23","EH1877","r2","t6",73,115,75.2,1505,36.4
"SGonder","y2005","p24","EH1869","r2","t7",62,125,68.2,590,29.8
"SGonder","y2005","p25","F2SXS13395","r2","t12",79,118,74.8,630,32.4
"SGonder","y2005","p26","EH1900","r2","t2",78,117,76,1145,33.2
"SGonder","y2005","p27","IBON2796","r2","t11",71,115,56,660,34.3
"SGonder","y2005","p28","EH1505","r2","t3",55,122,69.4,710,37.1
"SGonder","y2005","p29","EH1847","r2","t1",74,118,81.6,1035,32.4
"SGonder","y2005","p30","EH1551","r2","t8",72,118,74.8,1855,44.2
"SGonder","y2005","p31","IBON2796","r3","t11",69,110,54,350,30.1
"SGonder","y2005","p32","EH18472","r3","t9",80,123,79.8,935,31.1
"SGonder","y2005","p33","BNEth019","r3","t13",70,113,76.6,1875,36.6
"SGonder","y2005","p34","IBON4499","r3","t5",69,113,59.8,795,35.7
"SGonder","y2005","p35","EH1847","r3","t1",74,116,86,810,36.8
"SGonder","y2005","p36","EH1864","r3","t10",78,124,58.8,1160,34.5
"SGonder","y2005","p37","EH1869","r3","t7",79,124,72.4,1595,31.6
"SGonder","y2005","p38","EH1551","r3","t8",70,119,75.8,1935,47.7
"SGonder","y2005","p39","EH1893","r3","t4",77,119,78,1350,25.6
"SGonder","y2005","p40","Beka","r3","t15",83,124,81,1255,28.1
"SGonder","y2005","p41","EH1877","r3","t6",71,115,72.4,2395,37
"SGonder","y2005","p42","EH1505","r3","t3",79,119,73.4,1505,40.7
"SGonder","y2005","p43","EH1900","r3","t2",73,119,89.6,2215,36.5
"SGonder","y2005","p44","F2SXS13395","r3","t12",72,119,71.4,1050,35.3
"SGonder","y2005","p45","HB120","r3","t14",84,127,90.4,1900,31.2
"SGonder","y2005","p46","EH1551","r4","t8",67,119,75,1390,45.1
"SGonder","y2005","p47","IBON2796","r4","t11",68,109,52.4,565,30.9
"SGonder","y2005","p48","BNEth019","r4","t13",71,113,74.5,1025,36.6
"SGonder","y2005","p49","EH1900","r4","t2",78,117,72.2,1110,31.3
"SGonder","y2005","p50","EH18472","r4","t9",83,124,81.6,735,32.7
"SGonder","y2005","p51","Beka","r4","t15",94,123,71.2,410,20.9
"SGonder","y2005","p52","HB120","r4","t14",86,123,72.4,650,24.5
"SGonder","y2005","p53","EH1877","r4","t6",76,114,66,970,35.1
"SGonder","y2005","p54","EH1869","r4","t7",83,122,64.4,650,27
